CHECK: "SERVER URL"	ALERTS:1	TOP SEVERITY:Low
LEVEL:Low	LOCATION:"swagger root servers, address:http://127.0.0.1:8000"	DESCRIPTION:"Insecure transport, using http instead of https"
CHECK: "ADDITIONAL PROPERTIES"	ALERTS:3	TOP SEVERITY:Low
LEVEL:Low	LOCATION:"swagger root components schema:HTTPValidationError"	DESCRIPTION:"Object schema allows for additional properties"
LEVEL:Low	LOCATION:"swagger root components schema:ValidationError"	DESCRIPTION:"Object schema allows for additional properties"
LEVEL:Low	LOCATION:"swagger root components schema:Person"	DESCRIPTION:"Object schema allows for additional properties"
CHECK: "DEFAULT RESPONSE"	ALERTS:4	TOP SEVERITY:Low
LEVEL:Low	LOCATION:"swagger path:/items/ operation:GET"	DESCRIPTION:"No default response defined"
LEVEL:Low	LOCATION:"swagger path:/int_min_max/ operation:POST"	DESCRIPTION:"No default response defined"
LEVEL:Low	LOCATION:"swagger path:/str_max/ operation:POST"	DESCRIPTION:"No default response defined"
LEVEL:Low	LOCATION:"swagger path:/redirect/ operation:GET"	DESCRIPTION:"No default response defined"
CHECK: "RESPONSE BODY SCHEMA"	ALERTS:0	TOP SEVERITY:Info
CHECK: "DEFAULT TYPE"	ALERTS:0	TOP SEVERITY:Info
CHECK: "ENUM TYPE"	ALERTS:0	TOP SEVERITY:Info
CHECK: "UNUSED SCHEMA"	ALERTS:0	TOP SEVERITY:Info
CHECK: "401"	ALERTS:0	TOP SEVERITY:Info
CHECK: "403"	ALERTS:0	TOP SEVERITY:Info
CHECK: "RESPONSE SUCCESSES (2xx)"	ALERTS:0	TOP SEVERITY:Info
CHECK: "AUTH"	ALERTS:1	TOP SEVERITY:Medium
LEVEL:Medium	LOCATION:"swagger root components"	DESCRIPTION:"The API doesn't have authentication defined"
CHECK: "ENDPOINT AUTH"	ALERTS:0	TOP SEVERITY:Info
CHECK: "INTEGER ATTRIBUTES"	ALERTS:0	TOP SEVERITY:Info
CHECK: "STRING ATTRIBUTES"	ALERTS:6	TOP SEVERITY:Low
LEVEL:Low	LOCATION:"swagger rooot path:/str_max/ method:POST request body media type:application/json prop:age"	DESCRIPTION:"String schema without a minimum length"
